sex,graduation,education_form,langs,life_main,people_main,occupation_type,career_start,result
1,2010.0,Full-time,Русский,0,0,university,False,1
2,2016.0,Full-time,Русский,False,False,university,False,0
2,0.0,Full-time,Русский,0,0,university,False,0
2,2008.0,Full-time,Русский,False,False,university,False,0
1,0.0,Full-time,Русский,1,2,university,2008,1
2,1996.0,Full-time,Русский,False,2,university,False,0
2,2006.0,Full-time,Русский,0,0,university,False,0
1,2009.0,Full-time,Русский,5,5,work,2009,1
2,2012.0,Full-time,False,2,6,work,2005,0
2,2007.0,Full-time,Русский,False,False,university,False,0
2,2010.0,Full-time,Русский;English,7,2,university,2009,1
2,2011.0,Full-time,Русский,False,False,university,False,0
2,2010.0,Full-time,Русский;English,6,6,work,2011,0
1,2006.0,Full-time,False,0,0,university,False,1
1,2013.0,Distance Learning,Русский,0,6,university,False,1
2,2012.0,Full-time,English,1,1,university,False,0
2,2012.0,Full-time,Русский,False,False,university,False,0
1,2013.0,Full-time,Русский,0,0,university,False,1
1,0.0,Full-time,Русский;English;Français,6,2,work,2017,1
1,0.0,Full-time,False,False,False,university,False,1
2,2013.0,Full-time,Русский;English,1,2,work,2008,0
2,2015.0,Full-time,Русский,False,False,work,False,0
2,1985.0,Full-time,Русский,1,5,work,2015,1
2,2007.0,Full-time,Русский,1,1,university,False,0
1,2006.0,Full-time,Русский,1,2,work,2016,0
2,2012.0,Full-time,Русский;English,False,False,university,False,0
2,2014.0,Distance Learning,Русский,0,0,work,2012,0
2,2010.0,Full-time,False,False,False,university,False,0
1,1989.0,Full-time,Русский,0,0,university,False,1
1,2008.0,Full-time,Українська;Русский;English;Deutsch,0,0,university,False,1
2,1997.0,Full-time,Русский,False,False,university,False,0
2,2021.0,Distance Learning,Русский,0,0,work,2008,0
2,0.0,Distance Learning,Русский,0,0,work,False,0
2,2012.0,Full-time,Русский;English,7,6,university,False,1
2,2015.0,Full-time,Русский;English;Italiano;Deutsch,0,1,university,False,1
2,1997.0,Full-time,Русский,0,1,university,False,1
1,0.0,,Русский;English,6,0,university,False,1
2,2018.0,Distance Learning,Русский,5,2,university,False,1
2,2004.0,Full-time,Русский,0,0,university,False,0
2,2008.0,Full-time,Русский,6,5,work,2008,0
1,2013.0,Full-time,Русский;English,False,False,university,False,1
2,2015.0,Full-time,Русский,6,6,university,False,1
2,2010.0,Full-time,Русский,0,0,university,False,0
2,2015.0,Full-time,Русский,0,0,university,False,0
1,2011.0,Full-time,Русский;English;Français,0,0,work,2017,1
2,0.0,Full-time,Русский,6,6,university,2015,0
2,1985.0,Full-time,فارسی,5,2,university,1984,0
2,1997.0,Full-time,Русский,0,0,work,1997,0
1,2016.0,Full-time,False,2,6,university,False,1
2,2009.0,Full-time,Русский;English,6,2,work,False,1
1,2008.0,Full-time,Русский,0,0,university,2010,1
2,2019.0,Full-time,English,0,0,university,False,1
2,2013.0,Full-time,Русский,6,1,university,False,0
1,2007.0,Full-time,Русский,0,0,work,2008,1
2,2011.0,Full-time,Русский,1,2,work,2011,1
2,0.0,Full-time,False,0,0,university,False,1
2,2010.0,Full-time,Русский,1,2,work,False,1
2,2008.0,Full-time,Русский,6,5,university,False,1
2,2007.0,Full-time,Русский,1,2,university,False,0
2,0.0,Full-time,False,False,False,university,False,0
1,2008.0,Full-time,Русский,0,0,university,False,1
1,2014.0,,False,0,0,university,False,1
2,2006.0,Full-time,False,False,False,university,False,0
1,2011.0,Full-time,Русский,0,0,university,False,1
2,2010.0,Full-time,Русский,False,False,university,2007,0
1,2007.0,Distance Learning,Русский,6,2,university,False,1
1,2015.0,Full-time,False,0,0,work,False,1
2,0.0,Full-time,Русский,2,5,university,False,0
2,2011.0,Full-time,False,0,0,university,False,0
1,1988.0,Full-time,False,False,2,university,1998,1
2,2008.0,Full-time,Українська,False,6,work,False,1
2,2014.0,Full-time,Русский,6,6,university,2010,0
1,2013.0,Full-time,English,0,0,university,False,1
2,2012.0,Distance Learning,Русский,1,2,work,2013,0
1,2011.0,,False,False,False,university,False,1
1,2019.0,Distance Learning,False,0,0,,False,1
2,2013.0,Distance Learning,Русский,0,0,university,False,0
2,0.0,Distance Learning,Русский;Українська;English,6,1,university,2005,0
2,2007.0,Full-time,Русский,False,False,work,2007,0
2,2012.0,Full-time,False,False,False,university,False,1
2,2014.0,Distance Learning,False,5,2,work,2001,0
1,0.0,Full-time,Русский,0,0,university,False,1
2,0.0,Full-time,Русский,False,False,university,False,0
2,2016.0,Full-time,Русский,6,1,university,False,1
1,0.0,,Русский,False,False,university,2018,1
2,2012.0,Full-time,Русский,False,False,work,2007,0
1,2009.0,Distance Learning,Русский,False,False,university,False,1
1,0.0,,False,False,False,university,2006,1
1,2015.0,Full-time,Русский;English;Français,0,0,work,False,1
2,2014.0,Full-time,Русский,False,False,university,False,0
2,2002.0,Full-time,Русский;English;ʻŌlelo Hawaiʻi,6,6,university,False,1
1,2021.0,Full-time,Русский,4,1,university,False,1
2,2016.0,Full-time,Русский,False,2,work,2017,1
2,2013.0,Full-time,Русский;English,1,2,university,2012,0
1,2014.0,Distance Learning,Русский;English;Polski,1,0,work,False,0
2,0.0,Full-time,Русский,False,False,,False,1
2,2018.0,Full-time,False,False,False,university,False,0
1,2009.0,Full-time,False,False,False,university,False,1
1,2010.0,Full-time,Русский;English,0,0,university,False,1
2,2010.0,Distance Learning,False,0,0,university,False,0
2,2015.0,Full-time,Русский,False,False,work,2014,0
2,0.0,Full-time,Русский,False,False,work,2009,1
2,2011.0,Full-time,False,False,False,university,False,0
1,1998.0,Full-time,Русский,0,0,work,1998,1
1,2010.0,Distance Learning,Русский,0,0,university,False,1
1,2005.0,Full-time,False,False,False,university,False,1
2,2005.0,Full-time,Русский,False,False,university,False,0
2,2001.0,Full-time,Русский,False,False,university,False,1
1,0.0,,Русский,0,0,,False,1
2,2015.0,Full-time,Русский;Deutsch;Українська,False,False,university,False,1
1,2003.0,Full-time,Русский,0,0,university,False,1
2,2008.0,Full-time,Русский;English;Français,1,5,work,2006,1
2,2011.0,Full-time,Русский,1,0,work,2013,0
2,0.0,Distance Learning,Русский;English,4,3,university,False,1
2,2008.0,Full-time,Русский,0,0,university,False,0
1,2014.0,Full-time,Русский;English;Български;Español,0,0,university,False,1
2,2013.0,Full-time,Русский;Українська;English,6,2,university,False,1
2,0.0,,Русский;English,1,2,university,False,0
1,0.0,Full-time,False,False,False,university,False,1
2,2009.0,,Русский,False,False,work,2006,0
1,2008.0,Full-time,Русский,3,2,work,2008,1
2,0.0,Full-time,Русский;日本語,0,0,work,False,0
1,2015.0,Full-time,False,1,False,university,False,1
1,2003.0,Full-time,Русский,False,False,university,False,1
1,2010.0,,Русский,0,0,university,False,1
2,2006.0,Full-time,Русский,0,0,work,2006,1
2,2005.0,Full-time,Русский,0,0,university,False,0
1,2015.0,Distance Learning,Українська,1,0,university,False,1
1,0.0,,Русский,0,0,work,2009,1
1,2016.0,Full-time,False,False,False,work,False,1
2,2008.0,Full-time,Русский,6,0,work,2008,1
1,2012.0,Full-time,Русский,0,0,university,False,1
